Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.021508125,-1.85464325,5.283562775,7.369026031,9.255175948
0.031511125,-1.827848969,5.212161255,7.653733978,9.438606921
0.041513125,-1.852697296,5.155129852,7.943531342,9.649224904
0.051516042,-1.858385468,5.021607513,8.137378235,9.740999081
0.061518042,-1.831740875,4.873116302,8.307274933,9.803741834
0.071521042,-1.848955078,4.797074432,8.374784546,9.826880186
0.081523042,-1.855840759,4.783752136,8.325836334,9.779978532
0.091526042,-1.877096558,4.749922485,8.224197693,9.681047608
0.101528042,-1.878892822,4.687053223,8.149053955,9.586750571
0.111531042,-1.856289825,4.646038513,8.217012634,9.620331721
0.121533042,-1.794468384,4.640500031,8.32164505,9.695572889
0.131536042,-1.654210052,4.570445709,8.46325058,9.759712867
0.141538042,-1.439406738,4.481979675,8.617879028,9.819769474
0.151541042,-1.274898834,4.357588348,8.728498993,9.83873152
0.161543042,-1.294508057,4.283941498,8.76038269,9.837286757
0.171546042,-1.338366852,4.2228685,8.739575958,9.798164733
0.181548042,-1.32220047,4.163442078,8.67146759,9.709624822
0.191551042,-1.300345917,4.097878418,8.65155899,9.660899544
0.201553042,-1.275647278,4.089645538,8.628955994,9.633865172
0.211556042,-1.174008636,4.138444061,8.632548523,9.644994014
0.221558042,-1.076860657,4.134252777,8.733738098,9.722646557
0.231561042,-0.960552521,4.124073944,8.87983429,9.837789592
0.241563042,-0.892144775,4.101920013,9.056167603,9.98177548
0.251566042,-0.880469055,4.066294098,9.227411499,10.12201049
0.261568042,-0.819246368,4.01569931,9.335337067,10.19536776
0.271571042,-0.792601776,3.910019073,9.287586365,10.10820099
0.281573042,-0.83780777,3.796405334,9.139993286,9.93247666
0.291576042,-0.894988861,3.652853851,8.908275146,9.669628349
0.301578042,-0.910706177,3.566333771,8.749455414,9.492159519
0.311580042,-0.817150726,3.492088165,8.689579926,9.400596489
0.321583042,-0.640667725,3.437900848,8.613987122,9.29679469
0.331585042,-0.383652191,3.368744659,8.51818634,9.168158382
0.341588042,-0.198487244,3.296894073,8.375982056,9.003664982
0.351590042,-0.103584595,3.233126678,8.262667694,8.873303517
0.361593042,-0.080382843,3.207978973,8.176446991,8.783614056
0.371595042,-0.066162415,3.216211853,8.048014069,8.667117548
0.381598042,-0.055384827,3.221151581,7.931556244,8.560868498
0.391600042,0.002095642,3.19780014,7.844437408,8.471194035
0.401603042,0.079484711,3.241359558,7.733667755,8.38584203
0.411605042,0.074395294,3.257825317,7.638765106,8.304799384
0.421608042,-0.009430389,3.346141663,7.620353394,8.322652149
0.431610042,-0.157771912,3.458557892,7.709567871,8.45126922
0.441613042,-0.260308685,3.521576843,7.885601807,8.640137726
