Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.013873958,3.169059906,2.753823395,8.340655518,9.337720195
0.023820958,2.814597015,2.548600159,8.608897705,9.409061527
0.033767958,2.826422424,2.677482147,8.982670441,9.790094107
0.043715958,2.768043823,2.756218414,9.098080444,9.901205701
0.053662958,2.567610626,2.63856308,9.227411499,9.934775409
0.063609958,2.274969177,2.552941132,9.245523834,9.857621627
0.073557958,2.031126251,2.62568985,9.053024139,9.642456487
0.083504958,2.190993805,2.802921295,8.820258179,9.510719004
0.093451958,2.343077545,2.86908371,8.880133667,9.621768427
0.103399958,2.431992645,2.744243317,8.895252228,9.621380972
0.113346958,2.566113739,2.59171051,8.959468689,9.673364579
0.123294958,2.718197479,2.612217865,9.025631104,9.781323864
0.133241958,2.819536743,2.655926971,8.998238068,9.796531215
0.143188958,2.803819427,2.64559845,8.882977753,9.683382069
0.153136958,2.81055542,2.603086853,8.799900513,9.597579485
0.163083958,2.84453476,2.574047241,8.814120941,9.612794867
0.173030959,2.842588806,2.557132416,8.83537674,9.62720725
0.182978958,2.884501648,2.534828796,8.914113007,9.706035106
0.192925958,2.929557953,2.525548096,9.002279663,9.798047873
0.202872958,2.899769897,2.508333893,9.1079599,9.88207154
0.212820958,2.706970825,2.430196381,9.284143524,9.971402433
0.222767958,2.393522644,2.378553772,9.390123138,9.978019906
0.232715958,2.303260345,2.45489502,9.423803101,10.0069767
0.242662958,2.392474823,2.553689575,9.447753296,10.0749843
0.252609958,2.581980743,2.584076385,9.285041656,9.977779006
0.262557958,2.787054291,2.531385956,9.053473206,9.805149849
0.272504958,2.971919861,2.535726929,8.801098022,9.629202725
0.282451958,3.218307495,2.575693817,8.510402527,9.456143661
0.292399958,3.477867737,2.635419617,8.291407928,9.369548868
0.302346958,3.749552765,2.743494873,8.230634308,9.4514153
0.312293958,3.977528687,2.856509857,8.344697113,9.675451045
0.322241958,4.22750885,2.981949005,8.419242096,9.881674373
0.332188958,4.398453369,3.029849396,8.524323578,10.05934749
0.342136958,4.351301422,2.844834137,8.593030701,10.04326052
0.352083833,4.265230408,2.492915955,8.611143036,9.927668647
0.362030833,4.151766357,2.11899353,8.826994171,9.98214023
0.371978833,4.107458496,1.89086792,9.132957916,10.19105083
0.381925833,4.247866516,1.779050446,9.370364227,10.44093464
0.391872833,4.430337067,1.749711456,9.488318939,10.61685325
0.401820833,4.59963501,1.813478851,9.561666412,10.76433056
0.411767833,4.775818634,1.873653717,9.573940887,10.86183069
0.421714833,4.900958405,1.943258972,9.586365051,10.9404773
0.431662833,5.031187592,1.94355835,9.613309021,11.02297501
0.441609833,4.80904953,2.077829132,9.388177185,10.75091634
0.451557833,4.696333923,2.212698669,9.087302856,10.4656897
0.461504833,4.506229248,2.124232635,8.634644165,9.968728414
0.471451833,4.201463013,2.055974579,8.434959412,9.645095292
0.481399833,3.927832031,2.133213959,8.387807465,9.504408468
0.491346833,3.394790497,2.296224976,8.367449799,9.317267185
0.501293833,2.754871216,2.376009064,8.372539215,9.12875388
0.511241833,2.230361938,2.448458405,8.490793304,9.113892356
0.521188833,1.630110168,2.354902954,8.748407593,9.205295351
0.531135833,0.870290222,2.128124542,8.946146393,9.236874711
0.541083833,0.293539581,1.884281616,9.011410675,9.210982849
0.551030834,0.010029144,1.70719986,8.452472992,8.623162507
0.560978833,-0.166603546,1.796264648,7.19014801,7.412998842
0.570925833,-0.323776703,1.768272858,6.662345581,6.900613661
0.580872833,-0.74305481,1.430874481,7.453300781,7.625695035
0.590820833,-1.363963623,1.123862915,8.583450623,8.763508955
0.600767833,-2.015708313,1.052760773,9.67782486,9.941412337
0.610714833,-2.262545013,1.050814819,10.00654129,10.3128168
0.620662833,-2.164798279,0.89513855,9.960137787,10.23190937
0.630609833,-1.864373016,0.777183838,9.843530273,10.04863124
0.640556833,-1.246008911,0.862207031,9.532327423,9.652005246
0.650504833,-1.492097168,1.862876129,6.79931076,7.206059134
0.660451833,-7.715854797,8.713081055,0.199834442,11.6401087
0.670399833,-8.600964203,7.896229706,15.13787064,19.11758761
0.680346833,-3.904031525,1.442550201,15.83347412,16.37135657
0.690293833,-2.615960083,2.299817505,19.50683533,19.81537363
0.700241833,-0.499361572,1.444346466,14.53013443,14.61028081
0.710188833,2.206711121,1.36082016,13.79905472,14.04048847
0.720135833,1.725312195,0.613873444,13.27828766,13.40397202
0.730083833,0.042661285,-0.671802979,11.53456375,11.55418972
0.740030833,-1.357976074,-0.842597809,11.53905441,11.64919941
0.749977833,-2.361339569,-0.492924957,11.20240448,11.45917823
0.759925833,-1.610650635,0.454904022,10.05803421,10.19633195
0.769872834,-0.514031067,1.589095459,9.650581512,9.79403777
0.779820833,1.204844513,3.101400604,9.073232117,9.664050758
0.789767833,2.386636963,4.098626862,8.617429962,9.83640571
0.799714833,2.298170929,4.262685699,9.281299438,10.46874387
0.809662833,2.370470581,4.085154877,9.398356018,10.51839897
0.819609833,2.864293671,4.031416626,9.478289795,10.69085945
0.829556833,3.208577728,3.891906738,9.68710556,10.9216264
0.839504833,3.053799591,3.202290802,11.83663559,12.63670449
0.849451833,3.1054422,3.106490021,10.54317535,11.42158474
0.859398833,2.292931824,2.844684448,8.835526428,9.56118681
0.869346833,1.447040863,2.567610626,8.62236969,9.112179249
0.879293833,0.939895477,2.41388031,8.441845093,8.830343721
0.889241833,0.386645966,2.391427002,7.110064545,7.511420374
