"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.501916606E-3,4.035907288E0,2.087708588E0,6.921456757E0,8.279712460E0
7.446083240E-3,3.745660858E0,1.990859985E0,6.293362885E0,7.589460794E0
1.739308331E-2,3.343596954E0,2.239043884E0,6.413113861E0,7.571062508E0
2.734008338E-2,2.776426392E0,2.492167511E0,7.381749573E0,8.271013793E0
3.728808346E-2,1.779499512E0,2.398162994E0,8.469387817E0,8.980441763E0
4.723508330E-2,9.066645813E-1,2.038460999E0,9.371861115E0,9.633750290E0
5.718208337E-2,8.587641907E-1,1.592837677E0,9.938283234E0,1.010168706E1
6.713008345E-2,1.730401611E0,1.539249115E0,1.022284149E1,1.048189228E1
7.707708329E-2,3.173251190E0,1.654958496E0,1.026655060E1,1.087246393E1
8.702408336E-2,4.088747406E0,1.178648987E0,1.004800507E1,1.091189601E1
9.697208344E-2,4.028273163E0,2.604583740E-2,9.499246216E0,1.031810747E1
1.069190833E-1,3.573219452E0,-1.076860657E0,9.069340210E0,9.807163605E0
1.168660834E-1,3.469485168E0,-1.614991608E0,8.493787079E0,9.316112074E0
1.268140834E-1,3.526965637E0,-1.733395386E0,8.387508087E0,9.262528709E0
1.367610833E-1,3.817361755E0,-1.825154572E0,8.090974731E0,9.130570195E0
1.467080833E-1,4.263883209E0,-2.013762360E0,8.161478119E0,9.425797788E0
1.566560834E-1,4.602030029E0,-2.125280457E0,1.057625656E1,1.172828633E1
1.666030833E-1,5.549859009E0,-2.030228119E0,1.327768890E1,1.453340235E1
1.765500833E-1,6.249653778E0,-2.079026642E0,1.514834885E1,1.651826253E1
1.864980834E-1,6.285878448E0,-2.076332245E0,1.602492599E1,1.733844505E1
1.964450832E-1,5.681285706E0,-2.207758942E0,1.617401596E1,1.728438599E1
2.063920833E-1,4.381837921E0,-2.561174011E0,1.612461868E1,1.690453914E1
2.163400834E-1,2.784060516E0,-2.813100128E0,1.564651291E1,1.613932748E1
2.262870832E-1,1.775457916E0,-2.930755463E0,1.501467682E1,1.540071746E1
2.362340833E-1,7.125183105E-2,-3.194357300E0,1.478355743E1,1.512489887E1
2.461820834E-1,-3.948788452E-1,-4.097579041E0,1.544937286E1,1.598840846E1
2.561290835E-1,7.243437195E-1,-4.349954224E0,1.447729431E1,1.513402875E1
2.660760833E-1,1.149160309E0,-3.640729065E0,1.066996170E1,1.133241193E1
2.760240834E-1,3.478316803E0,-3.055595856E0,6.874005432E0,8.287780432E0
2.859710834E-1,6.502328339E0,-2.571502533E0,7.645501099E0,1.036081976E1
2.959180833E-1,6.151008911E0,-1.593286743E0,1.154369476E1,1.317688742E1
3.058660834E-1,2.805915070E0,-1.894909515E0,1.290690994E1,1.334361891E1
3.158130834E-1,6.785389709E-1,-2.936144257E0,1.566567307E1,1.595288911E1
3.257600833E-1,-4.038601685E-1,-2.996468811E0,1.906136169E1,1.929967456E1
3.357080834E-1,-5.248086548E-1,-3.318748627E0,2.127450943E1,2.153820485E1
3.456550834E-1,3.423381042E-1,-4.595593414E0,2.190499832E1,2.238449521E1
3.556020833E-1,2.081571350E0,-5.559289398E0,2.181114349E1,2.260452650E1
3.655500833E-1,3.891906738E0,-5.705984344E0,1.972508148E1,2.089937882E1
3.754970834E-1,5.104684753E0,-5.663921814E0,1.665975586E1,1.832171613E1
3.854440833E-1,5.875282288E0,-5.438191223E0,1.342288696E1,1.562903580E1
3.953920833E-1,6.518644409E0,-4.846022644E0,1.061337936E1,1.336489738E1
4.053390834E-1,7.382048950E0,-4.341871033E0,9.485923920E0,1.278003300E1
