"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.692374935E-3,5.665718079E-1,6.870712280E-1,1.048389862E1,1.052165390E1
8.254625136E-3,5.069956970E-1,8.214916992E-1,1.075363770E1,1.079687996E1
1.820262498E-2,2.091151428E-1,9.307644653E-1,1.079540085E1,1.083746885E1
2.814962505E-2,1.839674377E-1,1.088237000E0,1.088491470E1,1.094072538E1
3.809762513E-2,1.763333130E-1,1.216669922E0,1.137604340E1,1.144227873E1
4.804462497E-2,4.655319214E-2,1.244362335E0,1.183079773E1,1.189614979E1
5.799162504E-2,-1.116677856E-1,1.285826111E0,1.205173828E1,1.212065238E1
6.793962512E-2,-2.104623413E-1,1.337618408E0,1.215637070E1,1.223155207E1
7.788662496E-2,-2.019300842E-1,1.340612183E0,1.210532684E1,1.218100795E1
8.783462504E-2,1.437011719E-2,1.225501556E0,1.204006256E1,1.210227941E1
9.778162511E-2,2.989283752E-1,1.007704468E0,1.212538513E1,1.217085827E1
1.077286249E-1,5.032534790E-1,7.936495972E-1,1.219094879E1,1.222711643E1
1.176766250E-1,6.959028625E-1,6.453080750E-1,1.213436646E1,1.217142360E1
1.276236251E-1,8.689430237E-1,4.718188477E-1,1.221834183E1,1.225828504E1
1.375716249E-1,1.036145325E0,2.270777893E-1,1.228255829E1,1.232827642E1
1.475186250E-1,1.166823578E0,-2.978805542E-2,1.236743179E1,1.242238841E1
1.574656251E-1,1.074315948E0,-2.330653381E-1,1.247820145E1,1.252653127E1
1.674136249E-1,7.723937988E-1,-2.564167786E-1,1.259226425E1,1.261853639E1
1.773606250E-1,2.466870117E-1,-9.849517822E-2,1.273776169E1,1.274053094E1
1.873086251E-1,-2.930905151E-1,8.696914673E-2,1.277398636E1,1.277764427E1
1.972556249E-1,-7.780819702E-1,2.415975952E-1,1.251891678E1,1.254539988E1
2.072026250E-1,-1.044976959E0,3.655398560E-1,1.191671906E1,1.196803197E1
2.171506251E-1,-1.000070343E0,5.183720398E-1,1.114432526E1,1.120110868E1
2.270976249E-1,-7.279362488E-1,6.888674927E-1,1.022014709E1,1.026916921E1
2.370456250E-1,-4.824467468E-1,7.325765991E-1,9.493857422E0,9.534293476E0
2.469926251E-1,-4.486170959E-1,6.698570251E-1,9.246272278E0,9.281353176E0
2.569396251E-1,-4.303550720E-1,5.733078003E-1,9.141789551E0,9.169852971E0
2.668876250E-1,-4.782554626E-1,4.796026611E-1,9.264683990E0,9.289408832E0
2.768346251E-1,-3.273692322E-1,3.273692322E-1,9.815089417E0,9.826002314E0
2.867826251E-1,2.658471680E-1,-1.559756470E-1,9.944121094E0,9.948896795E0
2.967296250E-1,1.173409882E0,-8.960366821E-1,1.051174072E1,1.061491712E1
3.066776250E-1,1.282682648E0,-1.331630859E0,1.174547516E1,1.189010943E1
3.166246251E-1,8.358618164E-1,-1.480720825E0,1.097293167E1,1.110389250E1
3.265716250E-1,1.841171265E-1,-1.035097504E0,1.007854156E1,1.013322881E1
3.365196250E-1,-9.295669556E-2,-3.282673645E-1,9.110205231E0,9.116591455E0
3.464666251E-1,-1.445993042E-1,3.502716064E-1,8.515042877E0,8.523470793E0
3.564146250E-1,-4.384382629E-1,1.051263885E0,8.338709564E0,8.416142885E0
3.663609168E-1,-8.866062927E-1,1.674717407E0,7.796986084E0,8.023947975E0
3.763079166E-1,-8.536747742E-1,1.936672668E0,7.342830505E0,7.641768217E0
3.862559167E-1,-5.477110291E-1,1.872007141E0,7.722890167E0,7.965389547E0
3.962029167E-1,2.894979858E-1,1.612596588E0,8.399333496E0,8.557632851E0
4.061509166E-1,9.208850098E-1,1.364412689E0,8.812624054E0,8.965042884E0
4.160979167E-1,1.168170776E0,1.136736145E0,8.893156586E0,9.041295598E0
