"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.484581735E-4,4.442611542E0,3.231031036E0,8.901239777E0,1.045984839E1
9.799541673E-3,3.792513428E0,2.696193237E0,8.697363739E0,9.863911601E0
1.974754175E-2,3.530857544E0,2.558329926E0,8.793314209E0,9.815007987E0
2.969454182E-2,3.716321869E0,2.891537018E0,9.277706909E0,1.040422414E1
3.964254167E-2,3.665278015E0,3.170706482E0,1.035546570E1,1.143342960E1
4.959054175E-2,3.032992859E0,3.336112518E0,1.147259262E1,1.232676251E1
5.953854183E-2,2.475102997E0,3.317251740E0,1.206356369E1,1.275381758E1
6.948554167E-2,2.197280731E0,3.013832703E0,1.222747284E1,1.278367405E1
7.943354174E-2,2.353256378E0,2.799777832E0,1.183843185E1,1.239052219E1
8.938154182E-2,2.981949005E0,2.939736786E0,1.123428818E1,1.198929952E1
9.932954167E-2,3.543581085E0,3.158432007E0,1.084135529E1,1.183501771E1
1.092765417E-1,3.811374207E0,3.219355316E0,1.059451859E1,1.171045029E1
1.192245418E-1,3.750600586E0,3.138523407E0,1.059511734E1,1.166935497E1
1.291725417E-1,3.539988556E0,2.987337799E0,1.055724609E1,1.152870987E1
1.391195417E-1,3.484154663E0,2.856360168E0,1.036669235E1,1.130338168E1
1.490675418E-1,3.507805481E0,2.748733978E0,1.009485764E1,1.103478085E1
1.590155417E-1,3.548221436E0,2.628234558E0,9.751920776E0,1.070501990E1
1.689635417E-1,3.536695404E0,2.499502258E0,9.507179718E0,1.044711406E1
1.789105418E-1,3.489992523E0,2.461331635E0,9.467661896E0,1.038628052E1
1.888585417E-1,3.396287384E0,2.440225525E0,9.455537109E0,1.033908365E1
1.988065417E-1,3.413052521E0,2.367027740E0,9.378597107E0,1.025718439E1
2.087535418E-1,3.508853302E0,2.356100464E0,9.276958466E0,1.019437194E1
2.187015417E-1,3.520379333E0,2.382595367E0,9.264234924E0,1.019293285E1
2.286495417E-1,3.395688629E0,2.394570465E0,9.384135590E0,1.026287824E1
2.385975418E-1,3.223247223E0,2.387684784E0,9.427844696E0,1.024571212E1
2.485445417E-1,3.107388153E0,2.371967468E0,9.308692474E0,1.009622932E1
2.584925417E-1,2.983595581E0,2.362986145E0,9.017847290E0,9.788110944E0
2.684405418E-1,3.008892975E0,2.399659882E0,8.577163696E0,9.401039387E0
2.783885417E-1,3.111579437E0,2.426304474E0,8.024213562E0,8.941861287E0
2.883355417E-1,3.210823059E0,2.421514435E0,7.567213898E0,8.569471573E0
2.982835418E-1,3.322041779E0,2.346520386E0,7.240293732E0,8.304454998E0
3.082315417E-1,3.528612213E0,2.260299683E0,7.077731781E0,8.225226196E0
3.181785417E-1,3.819607086E0,2.181563416E0,7.096293182E0,8.349011568E0
3.281265418E-1,4.038152618E0,2.082170105E0,7.289990387E0,8.589881766E0
3.380745417E-1,4.121828613E0,1.892514496E0,7.429799652E0,8.704769101E0
3.480225417E-1,4.275708618E0,1.689686279E0,7.359146576E0,8.677197833E0
3.579695418E-1,4.485272827E0,1.561702423E0,7.322622528E0,8.727965827E0
3.679175416E-1,4.587360535E0,1.401086426E0,7.468419342E0,8.876046829E0
3.778655417E-1,4.631369019E0,1.212179260E0,7.716902618E0,9.081274336E0
3.878125418E-1,4.697531433E0,1.033301239E0,7.905660095E0,9.253862683E0
3.977605416E-1,4.799918518E0,9.193881226E-1,8.065527649E0,9.430653665E0
4.077085417E-1,5.043462067E0,8.948391724E-1,8.334218903E0,9.782456311E0
4.176565418E-1,5.202730865E0,8.396040344E-1,8.649613037E0,1.012863017E1
4.276035416E-1,5.279970245E0,7.574249268E-1,8.795709229E0,1.028670400E1
4.375515417E-1,5.249134369E0,6.783892822E-1,8.832981720E0,1.029733896E1
4.474995418E-1,5.012925568E0,6.012995911E-1,8.795709229E0,1.014176931E1
4.574465416E-1,4.867727509E0,6.182144165E-1,8.675209808E0,9.966756011E0
4.673945417E-1,4.878954163E0,6.785389709E-1,8.568182373E0,9.883236213E0
4.773425418E-1,4.818779297E0,7.658074951E-1,8.518785095E0,9.817168356E0
4.872905416E-1,4.653672638E0,8.494834900E-1,8.700806580E0,9.903652173E0
4.972375417E-1,4.382286987E0,9.054670715E-1,8.854985962E0,9.921445774E0
5.071850417E-1,4.108805695E0,9.029223633E-1,8.998986511E0,9.933746084E0
5.171330418E-1,3.907474365E0,8.345146179E-1,9.101972351E0,9.940355690E0
5.270810418E-1,3.799249420E0,7.912545776E-1,9.159003754E0,9.947247344E0
5.370280417E-1,3.738026733E0,7.442523193E-1,9.172775116E0,9.933104183E0
5.469760417E-1,3.749403076E0,6.472540283E-1,9.137298889E0,9.897837754E0
5.569240418E-1,3.776496735E0,5.569917297E-1,9.066945190E0,9.837767148E0
5.668710417E-1,3.785627747E0,5.375321960E-1,8.963061218E0,9.744556670E0
5.768190417E-1,3.779041443E0,5.334906006E-1,8.900641022E0,9.684377990E0
5.867670418E-1,3.767515411E0,5.251080322E-1,8.892408142E0,9.671857804E0
5.967150417E-1,3.703448639E0,5.101391602E-1,8.933722229E0,9.684377453E0
6.066620417E-1,3.542084198E0,4.791535950E-1,8.938661957E0,9.626818073E0
6.166100418E-1,3.356769562E0,4.436773682E-1,8.861572266E0,9.486422641E0
6.265580417E-1,3.200793915E0,5.022056580E-1,8.709488525E0,9.292603649E0
