"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.147916541E-3,3.923790436E0,3.005150757E0,8.014932861E0,9.416273744E0
8.800083306E-3,3.533551941E0,3.060685272E0,7.306156769E0,8.673736818E0
1.874708338E-2,3.596720581E0,3.029550018E0,7.114555206E0,8.528274622E0
2.869508346E-2,3.637136536E0,2.989283752E0,7.749684448E0,9.067645151E0
3.864208329E-2,3.046165466E0,2.974614258E0,8.859776001E0,9.829704208E0
4.859008337E-2,2.151326294E0,3.090473328E0,1.022329056E1,1.089471891E1
5.853708345E-2,1.450184326E0,3.183879089E0,1.153201904E1,1.205104078E1
6.848508329E-2,1.201701050E0,2.922672272E0,1.236174362E1,1.275926346E1
7.843208336E-2,1.412612457E0,2.360441437E0,1.271246429E1,1.300668698E1
8.838008344E-2,1.653760986E0,1.718276825E0,1.255993149E1,1.278433728E1
9.832708328E-2,2.057471466E0,1.346150665E0,1.200099380E1,1.225027195E1
1.082750834E-1,2.691253510E0,1.358574829E0,1.122889938E1,1.162655376E1
1.182220834E-1,3.312162323E0,1.570683746E0,1.042926224E1,1.105472648E1
1.281700833E-1,3.520379333E0,1.681453400E0,9.682465210E0,1.043889308E1
1.381170833E-1,3.344944153E0,1.578317871E0,9.157057800E0,9.875801043E0
1.480650834E-1,3.420836334E0,1.516646118E0,8.949439545E0,9.700247669E0
1.580120833E-1,3.647614746E0,1.625469818E0,9.090446320E0,9.928920372E0
1.679600833E-1,3.528462524E0,1.678309937E0,9.361831970E0,1.014448963E1
1.779070834E-1,3.059637451E0,1.771416321E0,9.919123077E0,1.053035136E1
1.878550833E-1,2.768492889E0,2.026635590E0,1.089823700E1,1.142555795E1
1.978020833E-1,2.428100739E0,2.073637848E0,1.155162827E1,1.198481384E1
2.077500834E-1,1.638193359E0,1.350641327E0,1.113564331E1,1.133624547E1
2.176970835E-1,1.113384705E0,4.143383789E-1,1.048195267E1,1.054905842E1
2.276450833E-1,1.875749359E0,2.435435486E-1,1.022104523E1,1.039459064E1
2.375920834E-1,3.386407928E0,6.997947693E-1,9.915680237E0,1.050134210E1
2.475400835E-1,4.659809875E0,1.254690857E0,9.547146606E0,1.069748034E1
2.574870833E-1,5.642216949E0,1.492246857E0,9.439819794E0,1.109827061E1
2.674350834E-1,6.165828094E0,1.372645569E0,9.594298553E0,1.148704299E1
2.773820835E-1,5.845793610E0,9.916877747E-1,9.837393036E0,1.148612421E1
2.873300833E-1,4.995112610E0,4.715194702E-1,9.918374634E0,1.111519842E1
2.972770834E-1,4.279301147E0,9.116043091E-2,9.949659576E0,1.083127205E1
3.072250835E-1,3.900738373E0,-8.307723999E-2,9.951904907E0,1.068939067E1
3.171720833E-1,3.766168213E0,-5.478607178E-2,9.960586853E0,1.064895840E1
3.271200834E-1,3.726500702E0,-7.798782349E-2,9.605225830E0,1.030307007E1
3.370670835E-1,3.485651550E0,-2.188449097E-1,9.364975433E0,9.995019995E0
3.470150833E-1,3.129691772E0,-2.239343262E-1,9.319919128E0,9.833921381E0
3.569620834E-1,3.021466827E0,-2.224374390E-1,9.050778809E0,9.544387735E0
3.669100835E-1,3.242108002E0,-3.341052246E-1,8.791068878E0,9.375808371E0
3.768570833E-1,3.683839417E0,-4.505630493E-1,8.861272888E0,9.607072244E0
3.868050834E-1,4.399800568E0,-5.167254639E-1,9.510173492E0,1.049136074E1
3.967520834E-1,5.205574951E0,-6.509962463E-1,9.616901550E0,1.095475249E1
4.067000833E-1,5.007237396E0,-8.045768738E-1,9.329050140E0,1.061842487E1
4.166470834E-1,5.024002533E0,-9.385482788E-1,9.416618042E0,1.071420411E1
4.265950834E-1,4.625082092E0,-1.164727936E0,9.221274261E0,1.038170865E1
4.365420833E-1,4.132306824E0,-1.281335449E0,9.397457886E0,1.034553019E1
4.464900834E-1,3.998934174E0,-1.368454285E0,9.594148865E0,1.048388449E1
4.564370834E-1,3.923790436E0,-1.272054749E0,1.004126907E1,1.085547508E1
4.663850833E-1,3.758085022E0,-1.020727386E0,1.016491196E1,1.088533520E1
4.763320833E-1,3.791166229E0,-6.514453125E-1,1.008752289E1,1.079608449E1
4.862800834E-1,3.959566040E0,-1.737886047E-1,1.016775604E1,1.091291110E1
4.962270833E-1,3.925886078E0,-1.398092651E-1,9.877509613E0,1.063001996E1
5.061750833E-1,3.479364624E0,-2.820734253E0,8.655151520E0,9.745469088E0
5.161220834E-1,2.279160461E0,-9.068142700E-1,1.401640274E1,1.422942129E1
5.260700835E-1,1.320553894E0,2.699037323E0,1.238719070E1,1.274641748E1
5.360170833E-1,1.409618683E0,1.935924225E0,6.853198700E0,7.259556450E0
5.459650834E-1,2.980901184E0,1.280587006E0,5.269492035E0,6.188151683E0
5.559120835E-1,3.947590942E0,5.438191223E-1,4.433630219E0,5.961232289E0
5.658600833E-1,4.515659637E0,9.205856323E-2,4.076921997E0,6.084484342E0
5.758070834E-1,5.353766785E0,4.460723877E-2,4.140390015E0,6.768134016E0
5.857550835E-1,6.108796692E0,-4.745132446E-2,5.136269073E0,7.981284899E0
5.957020833E-1,6.401288452E0,-1.534309387E-1,6.533912659E0,9.148335889E0
6.056500834E-1,7.398365021E0,6.361770630E-2,9.885742493E0,1.234778348E1
6.155970835E-1,7.409591675E0,-3.251239014E-1,1.149759064E1,1.368219079E1
6.255450833E-1,5.926475830E0,-1.387913818E0,9.898166656E0,1.161994508E1
6.354920834E-1,5.898184662E0,-1.538051605E0,8.968749390E0,1.084401451E1
6.454400835E-1,6.622079315E0,-1.131197662E0,6.902595978E0,9.632101216E0
6.553870833E-1,6.516399078E0,-6.477030945E-1,3.345393219E0,7.353545542E0
6.653350834E-1,4.298910370E0,-5.905220032E-1,5.038222961E0,6.649288474E0
6.752820835E-1,3.767964478E0,-3.406915283E-1,6.722819824E0,7.714268171E0
6.852300833E-1,4.744982758E0,4.852908325E-1,7.442373505E0,8.839643202E0
6.951770834E-1,5.566624146E0,1.186582489E0,7.270530853E0,9.233412222E0
7.051250834E-1,8.518934784E0,2.406545563E0,4.300407257E0,9.841606270E0
7.150720833E-1,8.182584229E0,1.826501770E0,5.698200531E0,1.013707466E1
7.250200834E-1,5.328918457E0,-1.956431580E-1,8.217162323E0,9.795785053E0
7.349670834E-1,3.297193451E0,-1.352138214E0,8.962312775E0,9.644833471E0
7.449150833E-1,2.783012695E0,-1.487456818E0,9.480834503E0,9.992192468E0
7.548620834E-1,3.491489410E0,-1.232237549E0,9.801318054E0,1.047734429E1
7.648098334E-1,4.419858856E0,-7.937992859E-1,9.819430389E0,1.079752207E1
7.747568334E-1,4.372108154E0,-6.968009949E-1,9.540410614E0,1.051761836E1
7.847048333E-1,3.605103149E0,-1.292562103E0,9.915979614E0,1.062987005E1
7.946518334E-1,2.242337036E0,-1.223705292E0,9.108858032E0,9.460276142E0
8.045998334E-1,1.032103729E0,-2.595602417E-1,7.888745270E0,7.960208010E0
8.145468333E-1,1.953288116E0,6.366261292E-1,8.730894012E0,8.969344321E0
8.244948334E-1,3.157234497E0,1.146166534E0,1.100855759E1,1.150956852E1
8.344418334E-1,2.764600983E0,9.300160217E-1,1.162332916E1,1.198372768E1
8.443898333E-1,2.285896454E0,3.327580261E-1,1.105810455E1,1.129680162E1
8.543368333E-1,2.088157654E0,-1.098715210E-1,1.043270508E1,1.064019781E1
8.642848334E-1,2.117346954E0,-3.911366272E-1,1.002121078E1,1.024991764E1
8.742318333E-1,1.882784729E0,-3.917353821E-1,9.965227203E0,1.014909297E1
8.841798333E-1,1.286424866E0,-4.505630493E-2,1.027433441E1,1.035465435E1
8.941268334E-1,1.009650421E0,4.836442566E-1,1.039438477E1,1.045449857E1
9.040748333E-1,8.854087830E-1,1.115779724E0,1.051608170E1,1.061211041E1
9.140218333E-1,5.034031677E-1,1.201850739E0,1.045964905E1,1.054049895E1
9.239698334E-1,1.956431580E-1,1.302591248E0,9.657018127E0,9.746436237E0
9.339168335E-1,-1.826202393E-2,1.349593506E0,9.034462738E0,9.134727861E0
9.438648333E-1,7.813751221E-2,1.370549927E0,8.597671051E0,8.706575680E0
9.538118334E-1,1.498384094E-1,1.455124054E0,8.355325012E0,8.482410838E0
9.637598335E-1,2.836601257E-1,1.508413239E0,8.602910156E0,8.738754872E0
9.737068333E-1,4.481680298E-1,1.525926819E0,8.929381256E0,9.069903906E0
9.836548334E-1,4.170327759E-1,1.407523041E0,8.847800903E0,8.968757900E0
9.936018335E-1,1.098715210E-1,1.159339142E0,8.811576233E0,8.888195245E0
1.003549833E0,-2.380050659E-1,9.348060608E-1,8.966504059E0,9.018242834E0
1.013496833E0,-5.391787720E-1,8.611592102E-1,9.405690765E0,9.460408432E0
1.023444833E0,-8.414002991E-1,8.497828674E-1,9.980345764E0,1.005173552E1
1.033391833E0,-1.004710693E0,7.828720093E-1,1.040067169E1,1.047837315E1
1.043339833E0,-8.945397949E-1,6.652166748E-1,1.052461395E1,1.058348778E1
1.053286833E0,-5.724096680E-1,5.719606018E-1,1.053075119E1,1.056179494E1
1.063234833E0,-9.744735718E-2,5.233117676E-1,1.044782364E1,1.046137515E1
1.073181833E0,2.336640930E-1,5.150788879E-1,1.018721558E1,1.020290480E1
1.083129833E0,1.483415222E-1,5.117857361E-1,9.908644867E0,9.922961904E0
1.093077833E0,-2.421963501E-1,5.363346863E-1,9.844129028E0,9.861703215E0
1.103024833E0,-7.596702576E-1,6.637197876E-1,1.001043320E1,1.006113292E1
1.112971833E0,-1.098565521E0,8.687933350E-1,1.012015503E1,1.021661323E1
1.122919833E0,-1.008303223E0,1.026116180E0,1.008572662E1,1.018780994E1
1.132867833E0,-6.634204102E-1,1.162482605E0,9.985135803E0,1.007444437E1
1.142814833E0,-1.881587219E-1,1.254391479E0,9.646988983E0,9.730020459E0
1.152761833E0,1.375639343E-1,1.240919495E0,9.279652863E0,9.363266646E0
1.162709833E0,2.170486450E-1,1.231788483E0,8.842861176E0,8.930879394E0
1.172656833E0,2.396516418E-1,1.305135956E0,8.459957428E0,8.563392579E0
1.182604833E0,2.823129272E-1,1.431473236E0,8.324788513E0,8.451681490E0
1.192552833E0,2.948867798E-1,1.542392578E0,8.471782837E0,8.616091777E0
1.202499833E0,3.258723450E-1,1.643282776E0,8.938212891E0,9.093856209E0
1.212447833E0,3.378474426E-1,1.672172699E0,9.493108978E0,9.645176022E0
1.222394833E0,3.957769775E-1,1.707648926E0,9.789642334E0,9.945340683E0
1.232342833E0,5.758525085E-1,1.771715698E0,9.633217621E0,9.811700381E0
1.242289833E0,8.391549683E-1,1.800455933E0,9.275311890E0,9.485632993E0
1.252237833E0,1.154399414E0,1.830992432E0,8.749156036E0,9.012929748E0
1.262184833E0,1.545985107E0,1.937870178E0,8.291707306E0,8.654352710E0
1.272132833E0,1.872755585E0,2.057321777E0,8.123756561E0,8.586920696E0
1.282079833E0,2.081421661E0,2.079176331E0,8.238418121E0,8.747961105E0
1.292027833E0,2.205064545E0,2.043101349E0,8.424331512E0,8.944603636E0
1.301974833E0,2.320773926E0,2.113455048E0,8.620423737E0,9.174115175E0
1.311922833E0,2.399659882E0,2.306852875E0,8.737180939E0,9.349773713E0
1.321869833E0,2.428998871E0,2.491718445E0,8.828940125E0,9.489935724E0
1.331817833E0,2.441872101E0,2.571801910E0,8.848100281E0,9.532354536E0
1.341764833E0,2.470911713E0,2.600991211E0,8.687633972E0,9.399231033E0
1.351712833E0,2.464774475E0,2.672093353E0,8.437504120E0,9.187310372E0
1.361659833E0,2.455942841E0,2.736459503E0,8.258476410E0,9.040038632E0
1.371607833E0,2.511477356E0,2.862647095E0,8.157885590E0,9.002964189E0
1.381554833E0,2.548450470E0,2.953208771E0,8.045469360E0,8.941231407E0
1.391502833E0,2.617606659E0,2.818189545E0,7.937244415E0,8.820085365E0
1.401449833E0,2.713108063E0,2.549797668E0,8.124205627E0,8.936729860E0
1.411397833E0,2.869682465E0,2.292033691E0,8.743617554E0,9.483635580E0
1.421344833E0,3.113076324E0,2.068099365E0,9.433832245E0,1.014719025E1
1.431292833E0,3.341351624E0,1.913470917E0,9.925559692E0,1.064625459E1
1.441239833E0,3.409759369E0,1.770218811E0,1.008408005E1,1.079114470E1
1.451187833E0,3.407514038E0,1.693428497E0,1.001731888E1,1.071566748E1
1.461134833E0,3.492088165E0,1.729503479E0,9.761500854E0,1.051060231E1
1.471082833E0,3.583697662E0,1.818867645E0,9.405690765E0,1.022830324E1
1.481029833E0,3.585643616E0,1.895208893E0,9.109905853E0,9.971912632E0
1.490977833E0,3.507356415E0,1.856140137E0,9.143585815E0,9.967545675E0
1.500924833E0,3.418890381E0,1.787882080E0,9.301058350E0,1.006950943E1
1.510872833E0,3.269950104E0,1.669328613E0,9.497899017E0,1.018279517E1
1.520819833E0,3.149450684E0,1.509760437E0,9.785451050E0,1.039006585E1
1.530767833E0,3.165167999E0,1.321302338E0,1.003647903E1,1.060636789E1
1.540714833E0,3.404370575E0,1.144370270E0,1.007075775E1,1.069202899E1
1.550662833E0,3.586691437E0,8.904981995E-1,1.013931519E1,1.079180499E1
1.560609833E0,3.673061829E0,6.563850403E-1,1.016655853E1,1.082964159E1
1.570557833E0,3.764821014E0,5.831872559E-1,1.020637573E1,1.089422279E1
1.580504833E0,3.830833740E0,5.713618469E-1,1.018242554E1,1.089419714E1
