"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.452916767E-4,9.544152832E-1,6.795867920E-1,9.308842163E0,9.382285924E0
9.857708355E-3,9.051676941E-1,5.457650757E-1,9.465416565E0,9.524247940E0
1.986070833E-2,9.934840393E-1,5.075944519E-1,9.878707123E0,9.941504770E0
2.986370830E-2,1.109492798E0,4.357438660E-1,1.035112473E1,1.041953118E1
3.986570833E-2,1.241518250E0,2.546205139E-1,1.074959610E1,1.082404802E1
4.986870830E-2,1.391206970E0,1.083746338E-1,1.094583801E1,1.103442666E1
5.987170833E-2,1.563348999E0,-1.347198486E-3,1.098834961E1,1.109900397E1
6.987470831E-2,1.606758728E0,-1.215472412E-1,1.083821182E1,1.095733922E1
7.987770834E-2,1.789079590E0,-1.682501221E-1,1.096664474E1,1.111289390E1
8.988070831E-2,2.197729797E0,-1.806742859E-1,1.106858276E1,1.128610579E1
9.988370835E-2,2.439477081E0,-2.411485291E-1,1.082294357E1,1.109708559E1
1.098867083E-1,2.569706268E0,-2.636018372E-1,1.040022263E1,1.071622634E1
1.198897084E-1,2.626737671E0,-2.148033142E-1,9.944121094E0,1.028744067E1
1.298927083E-1,2.754272461E0,-3.457809448E-2,9.664951630E0,1.004980111E1
1.398957083E-1,2.814896393E0,1.701960754E-1,9.549841003E0,9.957513324E0
1.498987083E-1,2.722239075E0,2.091151428E-1,9.326954498E0,9.718353510E0
1.599017083E-1,2.588417358E0,-2.224374390E-1,9.075327759E0,9.439859997E0
1.699047083E-1,2.303859100E0,-3.884422302E-1,9.011560364E0,9.309504515E0
1.799067083E-1,2.277663574E0,-1.948947144E-1,8.922944641E0,9.211116999E0
1.899097083E-1,2.639012146E0,2.290237427E-2,9.158255310E0,9.530925975E0
1.999127083E-1,3.391197968E0,-4.056564331E-2,9.400002594E0,9.993093515E0
2.099157083E-1,4.002377014E0,-2.957849121E-1,9.728120270E0,1.052344214E1
2.199187083E-1,3.422183533E0,-2.984793091E-1,1.013542328E1,1.070173982E1
2.299217083E-1,3.219205627E0,-2.791694641E-1,9.974657593E0,1.048498996E1
2.399247083E-1,3.389701080E0,-3.367996216E-1,9.632768555E0,1.021732536E1
2.499277084E-1,3.422632599E0,-3.851490784E-1,9.344767456E0,9.959288756E0
2.599307083E-1,3.339405670E0,-4.477189636E-1,8.848848724E0,9.468590510E0
2.699337083E-1,3.269501038E0,-4.977149963E-1,8.351283417E0,8.982276547E0
2.799367083E-1,3.257975006E0,-5.017565918E-1,8.100105743E0,8.745162884E0
2.899397083E-1,3.260819092E0,-4.174818420E-1,7.889044647E0,8.546593338E0
2.999427083E-1,3.468137970E0,-2.727328491E-1,7.879015503E0,8.612853736E0
3.099457083E-1,3.893553314E0,-1.670526123E-1,8.176596680E0,9.057836234E0
3.199477083E-1,4.029919739E0,-2.676434326E-1,8.336464233E0,9.263288942E0
3.299507083E-1,4.007167053E0,-3.905378723E-1,8.106242981E0,9.051026621E0
3.399537083E-1,4.057013397E0,-4.782554626E-1,8.036188660E0,9.014899565E0
3.499567083E-1,4.214186554E0,-7.595205688E-1,9.217981110E0,1.016402556E1
3.599597084E-1,5.009183350E0,-1.007255402E0,9.687554626E0,1.095240594E1
3.699627083E-1,5.742957458E0,-1.281634827E0,8.660839691E0,1.047063954E1
3.799657083E-1,5.700595551E0,-1.493594055E0,8.650062103E0,1.046667030E1
3.899687083E-1,5.275928650E0,-1.772164764E0,8.937614136E0,1.052886212E1
3.999717083E-1,5.411396942E0,-2.275867310E0,9.176517334E0,1.089363389E1
4.099747083E-1,5.314248962E0,-2.490071869E0,9.234446869E0,1.094151310E1
